Date,Team,Points,Group,Rank
10 June 2021,Turkey,0,A,1
10 June 2021,Italy,0,A,2
10 June 2021,Wales,0,A,3
10 June 2021,Switzerland,0,A,4
10 June 2021,Denmark,0,B,1
10 June 2021,Finland,0,B,2
10 June 2021,Belgium,0,B,3
10 June 2021,Russia,0,B,4
10 June 2021,Netherlands,0,C,1
10 June 2021,Ukraine,0,C,2
10 June 2021,Austria,0,C,3
10 June 2021,North Macedonia,0,C,4
10 June 2021,England,0,D,1
10 June 2021,Croatia,0,D,2
10 June 2021,Scotland,0,D,3
10 June 2021,Czech Republic,0,D,4
10 June 2021,Spain,0,E,1
10 June 2021,Sweden,0,E,2
10 June 2021,Poland,0,E,3
10 June 2021,Slovakia,0,E,4
10 June 2021,Hungary,0,F,1
10 June 2021,Portugal,0,F,2
10 June 2021,France,0,F,3
10 June 2021,Germany,0,F,4
11 June 2021,Turkey,0,A,4
11 June 2021,Italy,3,A,1
11 June 2021,Wales,0,A,3
11 June 2021,Switzerland,0,A,2
11 June 2021,Denmark,0,B,1
11 June 2021,Finland,0,B,2
11 June 2021,Belgium,0,B,3
11 June 2021,Russia,0,B,4
11 June 2021,Netherlands,0,C,1
11 June 2021,Ukraine,0,C,2
11 June 2021,Austria,0,C,3
11 June 2021,North Macedonia,0,C,4
11 June 2021,England,0,D,1
11 June 2021,Croatia,0,D,2
11 June 2021,Scotland,0,D,3
11 June 2021,Czech Republic,0,D,4
11 June 2021,Spain,0,E,1
11 June 2021,Sweden,0,E,2
11 June 2021,Poland,0,E,3
11 June 2021,Slovakia,0,E,4
11 June 2021,Hungary,0,F,1
11 June 2021,Portugal,0,F,2
11 June 2021,France,0,F,3
11 June 2021,Germany,0,F,4
12 June 2021,Turkey,0,A,4
12 June 2021,Italy,3,A,1
12 June 2021,Wales,1,A,3
12 June 2021,Switzerland,1,A,2
12 June 2021,Denmark,0,B,3
12 June 2021,Finland,3,B,2
12 June 2021,Belgium,3,B,1
12 June 2021,Russia,0,B,4
12 June 2021,Netherlands,0,C,1
12 June 2021,Ukraine,0,C,2
12 June 2021,Austria,0,C,3
12 June 2021,North Macedonia,0,C,4
12 June 2021,England,0,D,1
12 June 2021,Croatia,0,D,2
12 June 2021,Scotland,0,D,3
12 June 2021,Czech Republic,0,D,4
12 June 2021,Spain,0,E,1
12 June 2021,Sweden,0,E,2
12 June 2021,Poland,0,E,3
12 June 2021,Slovakia,0,E,4
12 June 2021,Hungary,0,F,1
12 June 2021,Portugal,0,F,2
12 June 2021,France,0,F,3
12 June 2021,Germany,0,F,4
13 June 2021,Turkey,0,A,4
13 June 2021,Italy,3,A,1
13 June 2021,Wales,1,A,3
13 June 2021,Switzerland,1,A,2
13 June 2021,Denmark,0,B,3
13 June 2021,Finland,3,B,2
13 June 2021,Belgium,3,B,1
13 June 2021,Russia,0,B,4
13 June 2021,Netherlands,3,C,2
13 June 2021,Ukraine,0,C,3
13 June 2021,Austria,3,C,1
13 June 2021,North Macedonia,0,C,4
13 June 2021,England,3,D,1
13 June 2021,Croatia,0,D,4
13 June 2021,Scotland,0,D,3
13 June 2021,Czech Republic,0,D,2
13 June 2021,Spain,0,E,1
13 June 2021,Sweden,0,E,2
13 June 2021,Poland,0,E,3
13 June 2021,Slovakia,0,E,4
13 June 2021,Hungary,0,F,1
13 June 2021,Portugal,0,F,2
13 June 2021,France,0,F,3
13 June 2021,Germany,0,F,4
14 June 2021,Turkey,0,A,4
14 June 2021,Italy,3,A,1
14 June 2021,Wales,1,A,3
14 June 2021,Switzerland,1,A,2
14 June 2021,Denmark,0,B,3
14 June 2021,Finland,3,B,2
14 June 2021,Belgium,3,B,1
14 June 2021,Russia,0,B,4
14 June 2021,Netherlands,3,C,2
14 June 2021,Ukraine,0,C,3
14 June 2021,Austria,3,C,1
14 June 2021,North Macedonia,0,C,4
14 June 2021,England,3,D,2
14 June 2021,Croatia,0,D,3
14 June 2021,Scotland,0,D,4
14 June 2021,Czech Republic,3,D,1
14 June 2021,Spain,1,E,2
14 June 2021,Sweden,1,E,3
14 June 2021,Poland,0,E,4
14 June 2021,Slovakia,3,E,1
14 June 2021,Hungary,0,F,1
14 June 2021,Portugal,0,F,2
